Calendar_Year,State,School_Period_Type,School_Period_Name,Start,Finish
2018,ACT,Holiday,School Holidays,2018-04-14,2018-04-29
2018,ACT,Holiday,School Holidays,2018-07-07,2018-07-22
2018,ACT,Holiday,School Holidays,2018-09-29,2018-10-14
2018,ACT,Holiday,School Holidays,2018-12-22,2019-02-03
2019,ACT,Holiday,School Holidays,2019-04-13,2019-04-28
2019,ACT,Holiday,School Holidays,2019-07-06,2019-07-21
2019,ACT,Holiday,School Holidays,2019-09-28,2019-10-13
2019,ACT,Holiday,School Holidays,2019-12-19,2020-02-02
2020,ACT,Holiday,School Holidays,2020-04-10,2020-04-26
2020,ACT,Holiday,School Holidays,2020-07-04,2020-07-19
2020,ACT,Holiday,School Holidays,2020-09-26,2020-10-11
2020,ACT,Holiday,School Holidays,2020-12-18,2021-02-01
2021,ACT,Holiday,School Holidays,2021-04-02,2021-04-18
2021,ACT,Holiday,School Holidays,2021-06-26,2021-07-11
2021,ACT,Holiday,School Holidays,2021-09-18,2021-10-04
2021,ACT,Holiday,School Holidays,2021-12-18,2022-01-30
2022,ACT,Holiday,School Holidays,2022-04-09,2022-04-25
2022,ACT,Holiday,School Holidays,2022-07-02,2022-07-17
2022,ACT,Holiday,School Holidays,2022-09-24,2022-10-09
2022,ACT,Holiday,School Holidays,2022-12-17,2023-01-29
2023,ACT,Holiday,School Holidays,2023-04-07,2023-04-23
2023,ACT,Holiday,School Holidays,2023-07-01,2023-07-16
2023,ACT,Holiday,School Holidays,2023-09-23,2023-10-08
2023,ACT,Holiday,School Holidays,2023-12-16,2024-01-29
2015,NSW,Holiday,School Holidays,2015-04-03,2015-04-19
2015,NSW,Holiday,School Holidays,2015-06-27,2015-07-12
2015,NSW,Holiday,School Holidays,2015-09-19,2015-10-05
2015,NSW,Holiday,2015/2016 Summer School Holidays,2015-12-17,2016-01-24
2016,NSW,Holiday,School Holidays,2016-04-09,2016-04-26
2016,NSW,Holiday,School Holidays,2016-07-02,2016-07-18
2016,NSW,Holiday,School Holidays,2016-09-24,2016-10-09
2016,NSW,Holiday,2016/2017 Summer School Holidays,2016-12-21,2021-02-02
2017,NSW,Holiday,School Holidays,2017-04-08,2017-04-25
2017,NSW,Holiday,School Holidays,2017-07-01,2017-07-17
2017,NSW,Holiday,School Holidays,2017-09-23,2017-10-08
2017,NSW,Holiday,School Holidays - Western Division,2017-12-16,2018-02-05
2017,NSW,Holiday,School Holidays - Eastern Division,2017-12-16,2018-01-29
2018,NSW,Holiday,School Holidays,2018-04-14,2018-04-29
2018,NSW,Holiday,School Holidays,2018-07-07,2018-07-22
2018,NSW,Holiday,School Holidays,2018-09-29,2018-10-14
2018,NSW,Holiday,School Holidays - Eastern Division,2018-12-22,2019-01-28
2018,NSW,Holiday,School Holidays - Western Division,2018-12-22,2019-02-04
2019,NSW,Holiday,School Holidays,2019-04-13,2019-04-28
2019,NSW,Holiday,School Holidays,2019-07-06,2019-07-21
2019,NSW,Holiday,School Holidays,2019-09-28,2019-10-13
2019,NSW,Holiday,School Holidays - Western Division,2019-12-21,2020-02-03
2019,NSW,Holiday,School Holidays - Eastern Division,2019-12-21,2020-01-27
2020,NSW,Holiday,School Holidays,2020-04-10,2020-04-26
2020,NSW,Holiday,School Holidays,2020-07-04,2020-07-19
2020,NSW,Holiday,School Holidays,2020-09-26,2020-10-11
2020,NSW,Holiday,School Holidays - Eastern Division,2020-12-19,2021-01-26
2020,NSW,Holiday,School Holidays - Western Division,2020-12-19,2021-02-02
2021,NSW,Holiday,School Holidays,2021-04-02,2021-04-18
2021,NSW,Holiday,School Holidays,2021-06-26,2021-07-11
2021,NSW,Holiday,School Holidays,2021-09-18,2021-10-04
2021,NSW,Holiday,School Holidays - Eastern Division,2021-12-18,2022-01-27
2021,NSW,Holiday,School Holidays - Western Division,2021-12-18,2022-02-03
2022,NSW,Holiday,School Holidays,2022-04-09,2022-04-25
2022,NSW,Holiday,School Holidays,2022-07-02,2022-07-17
2022,NSW,Holiday,School Holidays,2022-09-24,2022-10-09
2022,NSW,Holiday,School Holidays - Eastern Division,2022-12-21,2023-01-29
2022,NSW,Holiday,School Holidays - Western Division,2022-12-21,2023-02-05
2023,NSW,Holiday,School Holidays,2023-04-10,2023-04-21
2023,NSW,Holiday,School Holidays,2023-07-03,2023-07-14
2023,NSW,Holiday,School Holidays,2023-09-25,2023-10-06
2023,NSW,Holiday,School Holidays - Eastern Division,2023-12-20,2024-01-29
2023,NSW,Holiday,School Holidays - Western Division,2023-12-20,2024-02-05
2024,NSW,Holiday,School Holidays,2024-04-15,2024-04-26
2024,NSW,Holiday,School Holidays,2024-07-08,2024-07-19
2024,NSW,Holiday,School Holidays,2024-09-30,2024-10-11
2024,NSW,Holiday,School Holidays - Eastern Division,2024-12-23,2025-01-24
2024,NSW,Holiday,School Holidays - Western Division,2024-12-23,2025-01-31
2018,NT,Holiday,School Holidays,2018-04-16,2018-04-20
2018,NT,Holiday,School Holidays,2018-07-02,2018-07-20
2018,NT,Holiday,School Holidays,2018-10-01,2018-10-12
2018,NT,Holiday,School Holidays,2018-12-17,2019-01-25
2019,NT,Holiday,School Holidays,2019-04-15,2019-04-18
2019,NT,Holiday,School Holidays,2019-07-01,2019-07-19
2019,NT,Holiday,School Holidays,2019-09-30,2019-10-11
2019,NT,Holiday,School Holidays,2019-12-16,2020-01-24
2020,NT,Holiday,School Holidays,2020-04-14,2020-04-17
2020,NT,Holiday,School Holidays,2020-06-29,2020-07-17
2020,NT,Holiday,School Holidays,2020-09-28,2020-10-09
2020,NT,Holiday,School Holidays,2020-12-21,2021-01-29
2021,NT,Holiday,School Holidays,2021-04-17,2021-04-26
2021,NT,Holiday,School Holidays,2021-07-03,2021-07-26
2021,NT,Holiday,School Holidays,2021-10-02,2021-10-17
2021,NT,Holiday,School Holidays,2021-12-18,2022-01-20
2022,NT,Holiday,School Holidays,2022-04-09,2022-04-18
2022,NT,Holiday,School Holidays,2022-06-25,2022-07-18
2022,NT,Holiday,School Holidays,2022-09-24,2022-10-09
2022,NT,Holiday,School Holidays,2022-12-17,2023-01-29
2023,NT,Holiday,School Holidays,2023-04-07,2023-04-16
2023,NT,Holiday,School Holidays,2023-06-24,2023-07-17
2023,NT,Holiday,School Holidays,2023-09-23,2023-10-08
2023,NT,Holiday,School Holidays,2023-12-16,2024-01-29
2014,QLD,Holiday,School Holidays,2014-04-05,2014-04-21
2014,QLD,Holiday,School Holidays,2014-06-28,2014-07-13
2014,QLD,Holiday,School Holidays,2014-09-20,2014-10-07
2014,QLD,Holiday,2013/2014 Summer School Holidays,2014-12-14,2015-01-26
2015,QLD,Holiday,School Holidays,2015-04-03,2015-04-19
2015,QLD,Holiday,School Holidays,2015-06-27,2015-07-12
2015,QLD,Holiday,School Holidays,2015-09-19,2015-10-05
2015,QLD,Holiday,2015/2016 Summer School Holidays,2015-12-12,2016-01-24
2016,QLD,Holiday,School Holidays,2016-03-25,2016-04-10
2016,QLD,Holiday,School Holidays,2016-06-25,2016-07-10
2016,QLD,Holiday,School Holidays,2016-09-17,2016-10-03
2016,QLD,Holiday,2016/2017 Summer School Holidays,2016-12-10,2017-01-22
2017,QLD,Holiday,School Holidays,2017-04-01,2017-04-17
2017,QLD,Holiday,School Holidays,2017-06-24,2017-07-09
2017,QLD,Holiday,School Holidays,2017-09-16,2017-10-02
2017,QLD,Holiday,2017/2018 Summer School Holidays,2017-12-09,2018-01-21
2018,QLD,Holiday,School Holidays,2018-03-30,2018-04-15
2018,QLD,Holiday,School Holidays,2018-06-30,2018-07-15
2018,QLD,Holiday,School Holidays,2018-09-22,2018-10-07
2018,QLD,Holiday,2018/2019 Summer School Holidays,2018-12-15,2019-01-28
2019,QLD,Holiday,School Holidays,2019-04-06,2019-04-22
2019,QLD,Holiday,School Holidays,2019-06-29,2019-07-14
2019,QLD,Holiday,School Holidays,2019-09-21,2019-10-07
2019,QLD,Holiday,2019/2020 Summer School Holidays,2019-12-14,2020-01-27
2020,QLD,Holiday,School Holidays,2020-04-04,2020-04-19
2020,QLD,Holiday,School Holidays,2020-06-27,2020-07-12
2020,QLD,Holiday,School Holidays,2020-09-19,2020-10-05
2020,QLD,Holiday,2020/2021 Summer School Holidays,2020-12-12,2021-01-25
2021,QLD,Holiday,School Holidays,2021-04-02,2021-04-18
2021,QLD,Holiday,School Holidays,2021-06-26,2021-07-11
2021,QLD,Holiday,School Holidays,2021-09-18,2021-10-04
2021,QLD,Holiday,2021/2022 Summer School Holidays,2021-12-11,2022-01-23
2022,QLD,Holiday,School Holidays,2022-04-02,2022-04-18
2022,QLD,Holiday,School Holidays,2022-06-25,2022-07-10
2022,QLD,Holiday,School Holidays,2022-09-17,2022-10-03
2022,QLD,Holiday,2021/2022 Summer School Holidays,2022-12-10,2023-01-22
2023,QLD,Holiday,School Holidays,2023-04-01,2023-04-16
2023,QLD,Holiday,School Holidays,2023-06-24,2023-07-09
2023,QLD,Holiday,School Holidays,2023-09-16,2023-10-02
2023,QLD,Holiday,2023/2024 Summer School Holidays,2023-12-09,2024-01-21
2024,QLD,Holiday,School Holidays,2024-03-29,2024-04-14
2024,QLD,Holiday,School Holidays,2024-06-22,2024-07-07
2024,QLD,Holiday,School Holidays,2024-09-14,2024-09-29
2024,QLD,Holiday,2023/2024 Summer School Holidays,2024-12-14,2025-01-27
2015,SA,Holiday,School Holidays,2015-04-11,2015-04-26
2015,SA,Holiday,School Holidays,2015-07-04,2015-07-19
2015,SA,Holiday,School Holidays,2015-09-26,2015-10-11
2015,SA,Holiday,School Holidays,2015-12-12,2016-01-31
2016,SA,Holiday,School Holidays,2016-04-16,2016-05-01
2016,SA,Holiday,School Holidays,2016-07-09,2016-07-24
2016,SA,Holiday,School Holidays,2016-10-01,2016-10-16
2016,SA,Holiday,School Holidays,2016-12-17,2017-01-29
2017,SA,Holiday,School Holidays,2017-04-14,2017-04-30
2017,SA,Holiday,School Holidays,2017-07-08,2017-07-23
2017,SA,Holiday,School Holidays,2017-09-30,2017-10-15
2017,SA,Holiday,School Holidays,2017-12-16,2018-01-28
2018,SA,Holiday,School Holidays,2018-04-14,2018-04-29
2018,SA,Holiday,School Holidays,2018-07-07,2018-07-22
2018,SA,Holiday,School Holidays,2018-09-29,2018-10-14
2018,SA,Holiday,School Holidays,2018-12-15,2019-01-29
2019,SA,Holiday,School Holidays,2019-04-13,2019-04-28
2019,SA,Holiday,School Holidays,2019-07-06,2019-07-21
2019,SA,Holiday,School Holidays,2019-09-28,2019-10-13
2019,SA,Holiday,School Holidays,2019-12-14,2020-01-27
2020,SA,Holiday,School Holidays,2020-04-10,2020-04-26
2020,SA,Holiday,School Holidays,2020-07-04,2020-07-19
2020,SA,Holiday,School Holidays,2020-09-26,2020-10-11
2020,SA,Holiday,School Holidays,2020-12-12,2021-01-31
2021,SA,Holiday,School Holidays,2021-04-10,2021-04-26
2021,SA,Holiday,School Holidays,2021-07-03,2021-07-18
2021,SA,Holiday,School Holidays,2021-09-25,2021-10-10
2021,SA,Holiday,School Holidays,2021-12-11,2022-01-30
