Calendar_Year,School_Period_Type,Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2025,Holiday,2025-04-05,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-06,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-07,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-08,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-09,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-10,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-11,0,0,1,1,0,0,1,0
2025,Holiday,2025-04-12,1,1,1,1,1,1,1,1
2025,Holiday,2025-04-13,1,1,1,1,1,1,1,1
2025,Holiday,2025-04-14,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-15,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-16,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-17,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-18,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-19,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-20,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-21,1,1,0,1,1,1,1,1
2025,Holiday,2025-04-22,1,1,0,0,1,1,0,1
2025,Holiday,2025-04-23,1,1,0,0,1,1,0,1
2025,Holiday,2025-04-24,1,1,0,0,1,1,0,1
2025,Holiday,2025-04-25,1,1,0,0,1,1,0,1
2025,Holiday,2025-04-26,1,1,0,0,1,1,0,1
2025,Holiday,2025-04-27,1,1,0,0,1,1,0,1
2025,Holiday,2025-04-28,1,0,0,0,0,0,0,0
2025,Holiday,2025-06-21,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-22,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-23,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-24,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-25,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-26,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-27,0,0,1,0,0,0,0,0
2025,Holiday,2025-06-28,0,0,1,1,0,0,0,0
2025,Holiday,2025-06-29,0,0,1,1,0,0,0,0
2025,Holiday,2025-06-30,0,0,1,1,0,0,0,0
2025,Holiday,2025-07-01,0,0,1,1,0,0,0,0
2025,Holiday,2025-07-02,0,0,1,1,0,0,0,0
2025,Holiday,2025-07-03,0,0,1,1,0,0,0,0
2025,Holiday,2025-07-04,0,0,1,1,0,0,0,0
2025,Holiday,2025-07-05,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-06,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-07,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-08,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-09,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-10,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-11,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-12,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-13,1,1,1,1,1,1,1,1
2025,Holiday,2025-07-14,1,1,1,0,1,1,1,1
2025,Holiday,2025-07-15,1,1,0,0,1,1,1,1
2025,Holiday,2025-07-16,1,1,0,0,1,1,1,1
